Mmus_ENSMUST00000178537	Trbd1
Mmus_ENSMUST00000178862	Trbd2
Mmus_ENSMUST00000196221	Trdd1
Mmus_ENSMUST00000177564	Trdd2
Mmus_ENSMUST00000179520	Ighd4-1
Mmus_ENSMUST00000179883	Ighd3-2
Mmus_ENSMUST00000195858	Ighd5-6
Mmus_ENSMUST00000180001	Ighd2-8
Mmus_ENSMUST00000178815	Ighd5-5
Mmus_ENSMUST00000177965	Ighd2-7
Mmus_ENSMUST00000178909	Ighd5-8
Mmus_ENSMUST00000177646	Ighd5-4
Mmus_ENSMUST00000178230	Ighd2-6
Mmus_ENSMUST00000178483	Ighd5-7
Mmus_ENSMUST00000179262	Ighd5-3
Mmus_ENSMUST00000178549	Ighd2-5
Mmus_ENSMUST00000193012	Gm37327
Mmus_ENSMUST00000179166	Ighd5-2
Mmus_ENSMUST00000179560	Ighd2-4
Mmus_ENSMUST00000177839	Ighd2-3
Mmus_ENSMUST00000103439	Ighd1-1
Mmus_ENSMUST00000180266	Ighd3-1
Mmus_ENSMUST00000103441	Gm16968
Mmus_ENSMUST00000194399	Trbv13-1
Mmus_ENSMUST00000103268	Trbv13-1
Mmus_ENSMUST00000103269	Trbv12-2
Mmus_ENSMUST00000103270	Trbv13-2
Mmus_ENSMUST00000103271	Trbv13-3
Mmus_ENSMUST00000103272	Trbv14
Mmus_ENSMUST00000103273	Trbv15
Mmus_ENSMUST00000103274	Trbv16
Mmus_ENSMUST00000103275	Trbv17
Mmus_ENSMUST00000103276	Trbv19
Mmus_ENSMUST00000103277	Trbv20
Mmus_ENSMUST00000195087	Trbv21
Mmus_ENSMUST00000103278	Trbv21
Mmus_ENSMUST00000193997	Trbv23
Mmus_ENSMUST00000103279	Trbv23
Mmus_ENSMUST00000193064	Trbv26
Mmus_ENSMUST00000103280	Trbv26
Mmus_ENSMUST00000103281	Trbv29
Mmus_ENSMUST00000191646	Trbv30
Mmus_ENSMUST00000103282	Trbv30
Mmus_ENSMUST00000193003	Trbv31
Mmus_ENSMUST00000103300	Trbv31
Mmus_ENSMUST00000103567	Trav1
Mmus_ENSMUST00000185651	Trav1
Mmus_ENSMUST00000196939	Trav2
Mmus_ENSMUST00000103568	Trav2
Mmus_ENSMUST00000103569	Trav3-1
Mmus_ENSMUST00000103570	Trav5-1
Mmus_ENSMUST00000103571	Trav6-1
Mmus_ENSMUST00000198019	Trav7-1
Mmus_ENSMUST00000198058	Trav6-2
Mmus_ENSMUST00000103573	Trav6-2
Mmus_ENSMUST00000200127	Trav7d-2
Mmus_ENSMUST00000181483	Trav6d-3
Mmus_ENSMUST00000184883	Trav6d-3
Mmus_ENSMUST00000179789	Trav7d-3
Mmus_ENSMUST00000180717	Trav6d-4
Mmus_ENSMUST00000183820	Trav6d-4
Mmus_ENSMUST00000178768	Trav7d-4
Mmus_ENSMUST00000103580	Trav8d-1
Mmus_ENSMUST00000178426	Trav9d-1
Mmus_ENSMUST00000180687	Trav6d-5
Mmus_ENSMUST00000103646	Trav10d
Mmus_ENSMUST00000197754	Trav6d-6
Mmus_ENSMUST00000103648	Trav11d
Mmus_ENSMUST00000197128	Trav7d-5
Mmus_ENSMUST00000181360	Trav12d-1
Mmus_ENSMUST00000183652	Trav12d-1
Mmus_ENSMUST00000103588	Trav13d-1
Mmus_ENSMUST00000181038	Trav14d-1
Mmus_ENSMUST00000187138	Trav14d-1
Mmus_ENSMUST00000103616	Trav15d-1-dv6d-1
Mmus_ENSMUST00000186370	Trav15d-1-dv6d-1
Mmus_ENSMUST00000199746	Trav9d-2
Mmus_ENSMUST00000178824	Trav9d-2
Mmus_ENSMUST00000103592	Trav4d-3
Mmus_ENSMUST00000197007	Trav12d-2
Mmus_ENSMUST00000103593	Trav12d-2
Mmus_ENSMUST00000178252	Trav9d-3
Mmus_ENSMUST00000177703	Trav12d-3
Mmus_ENSMUST00000197954	Trav13d-2
Mmus_ENSMUST00000103596	Trav13d-2
Mmus_ENSMUST00000196802	Trav14d-2
Mmus_ENSMUST00000103597	Trav14d-2
Mmus_ENSMUST00000199800	Trav15d-2-dv6d-2
Mmus_ENSMUST00000196023	Trav3d-3
Mmus_ENSMUST00000103599	Trav3d-3
Mmus_ENSMUST00000200548	Trav9d-4
Mmus_ENSMUST00000167409	Trav9d-4
Mmus_ENSMUST00000103600	Trav4d-4
Mmus_ENSMUST00000179701	Trav5d-4
Mmus_ENSMUST00000178650	Trav6d-7
Mmus_ENSMUST00000196756	Trav7d-6
Mmus_ENSMUST00000179512	Trav13d-3
Mmus_ENSMUST00000198439	Trav8d-2
Mmus_ENSMUST00000103605	Trav8d-2
Mmus_ENSMUST00000103606	Trav16d-dv11
Mmus_ENSMUST00000196079	Trav13d-4
Mmus_ENSMUST00000103607	Trav13d-4
Mmus_ENSMUST00000103608	Trav14d-3-dv8
Mmus_ENSMUST00000103609	Trav7n-4
Mmus_ENSMUST00000103611	Trav6n-5
Mmus_ENSMUST00000103612	Trav10n
Mmus_ENSMUST00000181793	Trav6n-6
Mmus_ENSMUST00000103613	Trav6n-6
Mmus_ENSMUST00000199753	Trav7n-5
Mmus_ENSMUST00000198682	Trav12n-1
Mmus_ENSMUST00000103587	Trav12n-1
Mmus_ENSMUST00000198359	Trav13n-1
Mmus_ENSMUST00000196639	Trav14n-1
Mmus_ENSMUST00000177578	Trav14n-1
Mmus_ENSMUST00000197433	Trav15n-1
Mmus_ENSMUST00000103590	Trav15n-1
Mmus_ENSMUST00000198913	Trav9n-2
Mmus_ENSMUST00000180097	Trav9n-2
Mmus_ENSMUST00000103618	Trav4n-3
Mmus_ENSMUST00000196674	Trav12n-2
Mmus_ENSMUST00000103619	Trav12n-2
Mmus_ENSMUST00000177705	Trav9n-3
Mmus_ENSMUST00000179583	Trav12n-3
Mmus_ENSMUST00000196941	Trav13n-2
Mmus_ENSMUST00000103622	Trav13n-2
